lake_comid,meandepth,lakevolume,maxdepth,meandused,meandcode,lakearea
803405,3.685712613,1343783.545,9.484321727,3.685712613,4,364592.604766
803409,2.028762853,401101.9117,4.946322617,2.028762853,4,197707.666429
803411,1.200215008,31903.80234,1.333149005,1.200215008,4,26581.7231491
803415,0.305666634,155368.4419,0.833377789,0.305666634,4,508293.732287
803417,0.361189472,20166.07373,0.728070927,0.361189472,4,55832.4341985
803421,3.77039276,594490.0431,8.34986438,3.77039276,4,157673.244268
803425,0.954468466,76003.22928,2.047764459,0.954468466,4,79628.8534786
803429,0.229246172,3183.53818,0.569015119,0.229246172,4,13886.9842578
803433,0.175594227,23933.18571,0.407720035,0.175594227,4,136298.231518
803435,0.460181129,35955.09379,0.99999702,0.460181129,4,78132.4746038
803437,0.174953962,14547.255,0.379397953,0.174953962,4,83149.0562382
803441,0.914443903,18696.15744,2.161022229,0.914443903,4,20445.377772
803443,0.476723554,38387.46629,0.937085931,0.476723554,4,80523.5241871
803449,0.966625573,297997.3895,2.513126872,0.966625573,4,308286.274498
803451,0.345545587,6508.868165,0.782816251,0.345545587,4,18836.4883271
803453,3.157319119,882302.1522,7.713959705,3.157319119,4,279446.610247
803455,0,0,0,0.45,13,5106.66900737
803457,0.385967777,8977.924202,0.944330717,0.385967777,4,23260.8145151
803459,1.59012844,699727.3477,3.812876707,1.59012844,4,440044.568623
803461,1.259694992,203622.3559,2.851885502,1.259694992,4,161644.181411
803463,0.324262567,24410.5202,0.595339616,0.324262567,4,75280.1071575
803465,1.915410462,845467.1205,5.129266367,1.915410462,4,441402.592089
803467,0.049172053,2280.644424,0.099572826,0.049172053,4,46380.8803941
803469,0.547987403,822079.7106,1.350300189,0.547987403,4,1500179.98053
805717,0.809504397,293052.9249,1.79083959,0.809504397,4,362015.159699
805741,1.414624984,317251.7979,3.276683886,1.414624984,4,224265.645857
805747,5.302392213,645205.1323,11.42210862,5.302392213,4,121681.837882
805749,1.946722755,564044.9907,5.034986435,1.946722755,4,289740.798214
805751,5.369057292,1736387.748,14.4318959,5.369057292,4,323406.42607
805767,5.725400379,1908554.727,13.78110329,5.725400379,4,333348.708159
805769,0.809775492,151760.5384,1.8045606810000001,0.809775492,4,187410.642348
805771,1.770335598,227297.9757,4.183024681,1.770335598,4,128392.599861
4289083,0.502843402,414486.9216,1.411330575,0.502843402,4,824286.271406
4289085,0.919711406,48558.82214,1.569609817,0.919711406,4,52797.9186196
4289087,1.509825756,302239.234,3.762630876,1.509825756,4,200181.54671
4289089,0.498842413,56376.31762,1.118824685,0.498842413,4,113014.290077
4289091,0.288181063,85242.07911,0.646418095,0.288181063,4,295793.467806
4289093,0.556795882,32562.03265,1.183202966,0.556795882,4,58481.1002998
4289103,0.119003089,34239.44626,0.281109978,0.119003089,4,287718.992575
4289105,0.1583716,5823.834988,0.345874288,0.1583716,4,36773.2198217
4289119,0.333154379,5611.016009,0.738103294,0.333154379,4,16842.0903076
4289123,0.29570333,4722.284243,0.643564572,0.29570333,4,15969.6714032
4289129,0.254695049,3989.844602,0.589118826,0.254695049,4,15665.1878051
4289131,0.236960321,4916.398583,0.590007755,0.236960321,4,20747.7718279
4289163,0.099631195,2013.334252,0.204697939,0.099631195,4,20207.8691728
807959,0.431562511,11419.3008,0.868203654,0.431562511,4,26460.3382767
807961,6.353845795,3193014.259,13.83898006,6.353845795,4,502532.696801
807971,5.89058999,9890925.391,14.52985924,5.89058999,4,1679106.09556
807973,1.47381841,171730.7555,2.883841599,1.47381841,4,116520.975688
807985,1.059090086,45441.62893,1.938044195,1.059090086,4,42906.2824123
807999,1.859349598,313378.4351,3.957026263,1.859349598,4,168541.950195
808007,1.676301874,107770.1125,3.854300681,1.676301874,4,64290.3940217
808011,2.950445956,1150474.97,7.573524574,2.950445956,4,389932.586621
808015,0.073519948,3464.652861,0.181754378,0.073519948,4,47125.3554567
816319,0.031287015,2335.681848,0.051945555,0.031287015,4,74653.3703319
816321,0.310020979,4114.899844,0.709425442,0.310020979,4,13272.9753077
816323,0.043432867,813.4388423,0.095989593,0.043432867,4,18728.6514123
816325,0.807413079,24966.61136,1.26807118,0.807413079,4,30921.728711
