stream_comid,q_cfs,q_cms,mean_reach_depth
7690697,3.87,0.10958619631104001,0.1086776762916839
7690699,374.022,10.591123596033023,0.6659861294165724
7690701,328.386,9.298855984960513,0.6324880447225504
7690703,5.996,0.16978781216563202,0.12928677292286686
7690705,26.297,0.7446481148298241,0.23237477198352843
7690709,20.116,0.569621686044672,0.2089482722641881
7690711,301.68,8.542626279874561,0.6115645804969944
7690713,0.134,0.0037944574433280004,0.028632807811563805
7690715,0.14,0.003964358522880001,0.02913456607262855
7690717,325.935,9.22945139396352,0.630611562414872
7690719,0,0,0
7690721,326.698,9.251057147913215,0.6311966241913313
7690723,325.958,9.230102681435136,0.6306292106885736
7690725,19.463,0.5511307852200961,0.20623139287324868
7690727,984.456,27.87668952857395,0.9775879322540881
7690729,325.855,9.227186046236161,0.6305501712618083
7690731,2.271,0.064307558610432,0.08796904770629302
7690733,20.214,0.5723967370106879,0.2093513964032495
7690735,17.271,0.489060257490432,0.19668638098125743
7690737,1.103,0.031233481790976,0.06606016033246592
7690739,1.546,0.043777844831232,0.07552568253793328
7690741,14.287,0.404562787259904,0.1824331653489934
7690743,3.02,0.08551687670784,0.09849743674730353
7690745,2.746,0.077758060741632,0.09485119494240965
7690747,17.106,0.48438797780275206,0.19593898656943992
7690749,1.938,0.054878048695296,0.08260734828705772
7690751,10.609,0.300413425494528,0.16212002491796831
7690753,2.862,0.081042814946304,0.09642049355613298
7690755,9.873,0.279572226402816,0.15756244191706537
7690757,42.98,1.21705806652416,0.28236290012591975
7690759,1.739,0.049242996223488,0.07913288318326744
7690761,2.953,0.083619647986176,0.09762491263902948
7690763,0.873,0.024720607074816,0.06020886276225787
7690765,13.417,0.379927130724864,0.17794357626791443
7690767,1.196,0.033866948524032,0.06821538915466778
7690769,2.702,0.076512119491584,0.09424549133054731
7690771,8.229,0.23301933060556798,0.14658205976997626
7690773,41.902,1.186532505897984,0.2795326090266059
7690775,38.677,1.095210675638784,0.27079332066001943
7690777,7.097,0.20096466026342402,0.13822622355820471
7690779,2.51,0.07107528494592,0.09153027625091129
7690781,3.206,0.090783810173952,0.1008600795668272
7690783,3.35,0.09486143608320001,0.10263298156208939
7690785,0.505,0.01430000752896,0.048459567722219835
7690787,3.121,0.088376878213632007,0.09979093316914178
7690789,4.789,0.13560937832908798,0.11826038201356655
7690791,1.119,0.031686551336448,0.06643855641856022
7690793,1.986,0.056237257331712004,0.08341280837139264
7690795,34.034,0.963735556912128,0.25740137873443103
7690797,30.479,0.863069167277568,0.24638193308676284
7690799,1.207,0.034178433836544,0.0684635285455067
7690801,0.726,0.020558030625792,0.055963083933094425
7690803,2.275,0.0644208259968,0.08803046558764165
7690805,1.242,0.035169523467264,0.06924410401755109
7690807,0.735,0.02081288224512,0.05623720575591408
7690809,9.832,0.278411235692544,0.15730261441331972
7690811,2.484,0.070339046934528,0.09115306921686483
7690813,11.999,0.33977384225740803,0.1702327454479512
7690815,8.497,0.240608245492224,0.14845708178260597
7690817,5.354,0.151608396653568,0.12360840870054568
7690819,1.443,0.040861209632256,0.0734884694004696
7690821,4.996,0.141470965573632,0.12026183627858829
7690823,3.726,0.105508570401792,0.10705552601567504
7690825,5.115,0.14484067031808,0.12138984454019738
7690827,0.587,0.016621988949504,0.05143941799115195
7691307,1.909,0.054056860144128,0.08211486937954536
7691311,2.196,0.062183795116032003,0.08680516352567277
7691313,2.488,0.070452314320896,0.09121125562425134
7691315,6.306,0.17856603460915202,0.13189751041884246
7691317,8.555,0.24225062259456,0.14885815527316315
7691319,2.121,0.060060031621632,0.08561703905993377
7691321,2.796,0.079173903071232,0.09553242799317951
7691323,4.675,0.1323812578176,0.11713577728720231
7691325,5.033,0.14251868889753602,0.12061428197095861
7691327,8.374,0.237125273361408,0.1476010291953641
7691329,1.204,0.034093483296768,0.06839598996154185
7691331,1.161,0.032875858893312,0.06741656700252521
7691333,7.299,0.206684663275008,0.13977336641972188
7691335,0.896,0.025371894546432003,0.060833041664268526
7691337,1.905,0.05394359275776,0.08204658783361288
7691339,10.796,0.305708675807232,0.16324738445943615
7691341,8.935,0.25301102429952005,0.15144616362433563
7691343,28.343,0.802584382957056,0.2393834854809007
7691345,1.085,0.03072377855232,0.06563048435099003
7691347,14.731,0.417135467146752,0.18466095507005378
7691349,15.401,0.436107754363392,0.1879472939675734
7691351,9.121,0.258277957765632,0.15268874064933616
7691353,1.872,0.053009136820224005,0.08147993485021489
7691355,24.495,0.69362115727104,0.22592395876791668
7691357,12.425,0.35183681890560004,0.1726045048912481
7691359,2.661,0.075351128781312,0.09367570546787454
7691361,5.074,0.143679679607808,0.12100300862345399
7691363,17.195,0.48690817714944,0.19634266426186262
7691365,2.748,0.077814694434816,0.09487858731024457
7691367,24.365,0.68993996721408,0.22544766191371315
7691369,5.526,0.156478894267392,0.12516829326009216
7691371,64.432,1.8245110596157441,0.33154606256748315
7691373,32.833,0.929727024155136,0.25375987162290176
7691375,26.083,0.738588309659136,0.23162294334016081
7691377,34.44,0.9752321966284799,0.2586148253466989
7691383,2.705,0.07659707003136,0.09428697754302433
7691385,2.673,0.075690930940416,0.09384301712392186
7691387,104.113,2.948151849232896,0.4010482657211961
7691389,70.277,1.990023027945984,0.34316287355921554
7691391,1.438,0.040719625399296,0.07338737427917805
7691393,1.914,0.054198444377088,0.0822001000206343
7691395,164.857,4.668230378617344,0.48123695154368645
7691397,3.893,0.11023748378265599,0.10893337761928315
7691399,5.301,0.150107603784192,0.12312166511990613
7691401,4.464,0.12640640318668803,0.11500978387378792
7691403,182.307,5.162359351647744,0.5008282080855255
7691405,10.096,0.285886883192832,0.15896437401588828
7691407,10.61,0.30044174234112,0.1621260853358677
7691409,0,0,0
7691411,1.971,0.055812504632832,0.08316237628305616
7691415,4.682,0.132579475743744,0.11720530574899586
7691417,1.36,0.038510911365120006,0.07178202507458498
7691419,4.217,0.119412142078464,0.11244252857855194
7691423,1.868,0.052895869433856005,0.08141084126458391
7691425,27.857,0.788822395513344,0.2377470495825578
7691427,13.258,0.375424752116736,0.17710423884914314
7691429,1.29,0.03652873210368,0.07029331975282858
7691431,0.967,0.027382390654464,0.06270097798059666
7691433,15.671,0.443753302943232,0.1892472296236806
7691435,3.28,0.09287925682176,0.10177702255138293
7691439,8.82,0.24975458694144,0.15067007902306834
7691443,2.09,0.05918220937728,0.08511854519369555
7691445,229.68,6.503813325250561,0.5488777527044447
7691447,1.395,0.03950200099584,0.07250906516036143
7691449,10.46,0.29619421535232004,0.16121314160224315
7691451,1.113,0.031516650256896,0.0662970428553042
